customer_id,first_name,last_name,age,employment_length_yrs,housing_status,annual_income,employment_sector,created_at
CUST-000088,James,Brown,52,2.7,OWN,"$73,403.17",Public Sector,2022-04-30
CUST-000089,Robert,Moore,47,2.6,MORTGAGE,"$42,331.94",Manufacturing,2022-04-11
CUST-000090,Elizabeth,Johnson,41,11.9,MORTGAGE,"$23,748.87",Education,2022-02-03
CUST-000091,Michael,Smith,59,6.3,RENT,"$57,694.69",Services,2022-03-25
CUST-000092,William,Anderson,47,4.7,MORTGAGE,"$89,695.32",Manufacturing,2022-07-15
CUST-000093,Michael,Jones,31,1.9,MORTGAGE,"$86,745.36",Finance,2022-11-26
CUST-000094,William,Martin,23,8.7,MORTGAGE,"$37,061.54",Retail,2022-07-21
CUST-000095,Linda,Hernandez,20,15.5,MORTGAGE,"$92,465.08",Healthcare,2022-12-10
CUST-000096,Barbara,Martinez,33,8.6,OWN,"$54,528.29",Manufacturing,2022-12-07
CUST-000097,Mary,Johnson,24,0,MORTGAGE,"$91,178.43",Finance,2022-01-11
CUST-000098,James,Williams,69,5.1,RENT,"$65,306.28",Healthcare,2022-12-13
CUST-000099,Jessica,Lopez,31,0.3,MORTGAGE,"$22,907.09",Services,2022-08-06
CUST-000100,Robert,Martin,26,1.5,MORTGAGE,"$117,403.20",Public Sector,2022-09-10
CUST-000101,John,Jones,32,0.3,MORTGAGE,"$50,306.62",Healthcare,2022-08-10
CUST-000102,Barbara,Jones,38,4.6,RENT,"$65,407.81",Public Sector,2022-03-21
CUST-000103,Linda,Garcia,52,5.8,RENT,"$25,033.69",Manufacturing,2022-01-07
CUST-000104,John,Rodriguez,19,0.6,OWN,"$63,111.81",Finance,2022-09-29
CUST-000105,James,Johnson,44,2.4,MORTGAGE,"$85,089.92",Retail,2022-08-15
CUST-000106,John,Lopez,19,3,OWN,"$129,011.93",Manufacturing,2022-01-16
CUST-000107,Robert,Williams,52,2.3,MORTGAGE,"$98,735.51",Public Sector,2022-01-12
CUST-000108,Joseph,Martin,35,0.6,MORTGAGE,"$64,673.86",Education,2022-10-18
CUST-000109,Susan,Lopez,31,2.7,MORTGAGE,"$22,647.65",Healthcare,2022-08-29
CUST-000110,John,Taylor,37,7,OWN,"$52,372.47",Manufacturing,2022-01-21
CUST-000111,James,Martinez,35,0.4,MORTGAGE,"$36,451.77",Public Sector,2022-06-27
CUST-000112,Robert,Wilson,27,0.4,MORTGAGE,"$55,132.18",Services,2022-08-16
CUST-000113,Susan,Taylor,42,2.2,RENT,"$26,684.47",Healthcare,2022-09-30
CUST-000114,Michael,Moore,19,14.2,MORTGAGE,"$44,130.95",Services,2022-10-15
CUST-000115,William,Jackson,42,5.5,MORTGAGE,"$37,850.84",Public Sector,2022-10-24
CUST-000116,Joseph,Taylor,50,5.7,RENT,"$37,268.99",Finance,2022-05-14
CUST-000117,Joseph,Wilson,53,2.2,RENT,"$37,454.49",Technology,2022-10-10
CUST-000118,Elizabeth,Rodriguez,48,4.5,RENT,"$45,801.52",Services,2022-06-02
CUST-000119,Richard,Davis,31,0.1,RENT,"$56,562.27",Manufacturing,2022-03-07
CUST-000120,Charles,Johnson,18,5.1,RENT,"$18,000.00",Retail,2022-05-17
CUST-000121,Michael,Gonzalez,63,12.2,MORTGAGE,"$18,000.00",Manufacturing,2022-04-02
CUST-000122,Thomas,Miller,33,4.7,OWN,"$41,384.20",Healthcare,2022-11-13
CUST-000123,Karen,Rodriguez,63,10.3,MORTGAGE,"$44,405.36",Finance,2022-09-16
CUST-000124,Patricia,Hernandez,69,6.4,RENT,"$53,882.21",Public Sector,2022-04-13
CUST-000125,Robert,Wilson,20,0.6,RENT,"$34,069.70",Education,2022-02-24
CUST-000126,Michael,Brown,52,11.6,MORTGAGE,"$49,253.35",Retail,2022-09-14
CUST-000127,Richard,Gonzalez,58,0.3,RENT,"$52,222.13",Finance,2022-04-11
CUST-000128,Joseph,Johnson,23,3.8,OWN,"$33,952.61",Services,2022-07-17
CUST-000129,David,Jones,42,0.8,MORTGAGE,"$81,367.23",Services,2022-10-28
CUST-000130,Patricia,Hernandez,30,0.1,MORTGAGE,"$53,556.54",Manufacturing,2022-08-14
CUST-000131,Richard,Garcia,70,2.7,RENT,"$64,439.40",Education,2022-08-25
CUST-000132,Michael,Moore,51,1.7,MORTGAGE,"$50,737.62",Finance,2022-01-26
CUST-000133,Charles,Martinez,25,3.3,RENT,"$140,341.86",Technology,2022-05-01
CUST-000134,Mary,Brown,38,4.3,OWN,"$66,052.06",Retail,2022-07-01
CUST-000135,Elizabeth,Rodriguez,51,0.2,MORTGAGE,"$38,407.32",Healthcare,2022-07-18
CUST-000136,Richard,Garcia,21,0.7,RENT,"$73,901.13",Finance,2022-10-29
CUST-000137,Jennifer,Johnson,42,4.1,RENT,"$21,616.18",Finance,2022-09-12
CUST-000138,Barbara,Taylor,32,2.1,RENT,"$52,041.68",Technology,2022-05-02
CUST-000139,Barbara,Jones,21,6.5,MORTGAGE,"$57,502.30",Manufacturing,2022-01-31
CUST-000140,Karen,Garcia,62,5.3,RENT,"$52,339.70",Public Sector,2022-11-11
CUST-000141,David,Lopez,29,9.3,MORTGAGE,"$41,485.97",Public Sector,2022-10-12
CUST-000142,Michael,Martinez,49,5.9,RENT,"$29,550.72",Retail,2022-04-16
CUST-000143,James,Garcia,49,2.8,MORTGAGE,"$33,035.12",Retail,2022-08-12
CUST-000144,James,Davis,45,5.6,OWN,"$51,587.64",Healthcare,2022-09-30
CUST-000145,Karen,Johnson,30,1.6,MORTGAGE,"$28,092.01",Finance,2022-08-20
CUST-000146,Richard,Lopez,48,1.8,MORTGAGE,"$118,786.59",Education,2022-09-13
CUST-000147,William,Gonzalez,31,7.8,RENT,"$18,000.00",Finance,2022-01-24
CUST-000148,John,Miller,37,3,RENT,"$41,701.03",Public Sector,2022-04-19
CUST-000149,Michael,Martinez,35,8,MORTGAGE,"$51,802.56",Healthcare,2022-07-10
CUST-000150,Jennifer,Gonzalez,46,8.6,RENT,"$63,177.94",Finance,2022-12-13
CUST-000151,Linda,Taylor,23,9.7,MORTGAGE,"$31,009.15",Technology,2022-01-25
CUST-000152,William,Wilson,49,12.4,RENT,"$86,434.95",Public Sector,2022-07-06
CUST-000153,Robert,Johnson,46,2.8,RENT,"$24,418.21",Finance,2022-10-15
CUST-000154,James,Hernandez,60,1.9,RENT,"$36,935.77",Finance,2022-04-26
CUST-000155,Charles,Smith,19,4.4,OWN,"$66,861.18",Public Sector,2022-12-04
CUST-000156,Elizabeth,Jackson,40,2.3,RENT,"$82,462.12",Education,2022-02-06
CUST-000157,Barbara,Brown,36,4.6,MORTGAGE,"$24,294.36",Public Sector,2022-10-09
CUST-000158,Joseph,Jackson,48,6.1,RENT,"$183,968.24",Technology,2022-05-17
CUST-000159,William,Hernandez,68,5.8,MORTGAGE,"$31,296.27",Technology,2022-08-15
CUST-000160,Karen,Davis,22,2.3,RENT,"$25,435.69",Finance,2022-11-16
CUST-000161,Thomas,Hernandez,36,0.9,OWN,"$63,029.46",Retail,2022-11-24
CUST-000162,Thomas,Brown,51,2.8,OWN,"$41,185.98",Education,2022-07-01
CUST-000163,Karen,Taylor,27,0.8,RENT,"$38,252.87",Finance,2022-12-28
CUST-000164,Barbara,Miller,42,11,OWN,"$66,027.20",Public Sector,2022-03-27
CUST-000165,Michael,Davis,19,2.1,OTHER,"$22,841.91",Finance,2022-02-22
CUST-000166,Mary,Williams,28,0.8,OWN,"$20,929.87",Healthcare,2022-12-14
CUST-000167,John,Johnson,67,0.1,OWN,"$36,362.32",Healthcare,2022-12-21
CUST-000168,Thomas,Anderson,48,5.2,RENT,"$84,031.82",Retail,2022-08-23
CUST-000169,Robert,Jones,32,5.1,MORTGAGE,"$37,159.41",Education,2022-09-24
CUST-000170,Thomas,Smith,26,2.1,RENT,"$109,051.81",Manufacturing,2022-10-14
CUST-000171,Thomas,Brown,40,0.4,RENT,"$89,367.05",Services,2022-04-10
CUST-000172,Thomas,Anderson,36,2.6,OTHER,"$56,470.47",Healthcare,2022-03-28
CUST-000173,Mary,Martin,26,1.9,RENT,"$58,096.57",Manufacturing,2022-01-15
CUST-000174,Mary,Jackson,52,5.7,MORTGAGE,"$56,443.83",Technology,2022-04-11
CUST-000175,Robert,Williams,38,4.7,OWN,"$53,096.11",Healthcare,2022-06-14
CUST-000176,James,Martin,26,2.3,OWN,"$40,818.03",Healthcare,2022-01-29
CUST-000177,James,Hernandez,45,1.2,OTHER,"$43,256.64",Education,2022-04-24
CUST-000178,Charles,Taylor,63,22.1,RENT,"$28,710.55",Retail,2022-04-17
CUST-000179,Mary,Gonzalez,68,3,RENT,"$18,000.00",Manufacturing,2022-12-30
CUST-000180,Barbara,Hernandez,24,5.8,MORTGAGE,"$85,138.56",Public Sector,2022-05-10
CUST-000181,Jennifer,Johnson,33,0.8,RENT,"$53,030.86",Healthcare,2022-03-25
CUST-000182,Patricia,Rodriguez,33,3.3,RENT,"$49,173.28",Healthcare,2022-09-28
CUST-000183,David,Johnson,50,0.1,RENT,"$59,827.73",Education,2022-09-01
CUST-000184,Thomas,Rodriguez,21,3.5,MORTGAGE,"$32,396.36",Education,2022-08-02
CUST-000185,Jennifer,Rodriguez,21,16.6,MORTGAGE,"$29,716.83",Retail,2022-11-02
CUST-000186,Robert,Davis,56,2.4,RENT,"$42,538.19",Manufacturing,2022-06-15
CUST-000187,Karen,Taylor,57,0.2,MORTGAGE,"$97,153.67",Technology,2022-10-06
CUST-000188,Mary,Smith,34,0.2,RENT,"$27,326.97",Public Sector,2022-02-28
CUST-000189,Jennifer,Hernandez,54,2.5,RENT,"$18,000.00",Retail,2022-03-31
CUST-000190,David,Davis,56,0.9,MORTGAGE,"$37,771.10",Services,2022-11-27
CUST-000191,Jessica,Martinez,69,0.1,MORTGAGE,"$86,798.96",Technology,2022-07-13
CUST-000192,Jessica,Miller,46,7.1,MORTGAGE,"$20,614.05",Finance,2022-05-03
CUST-000193,James,Williams,69,3.1,RENT,"$27,169.71",Healthcare,2022-05-16
CUST-000194,William,Williams,53,1.7,OWN,"$55,925.37",Manufacturing,2022-05-19
CUST-000195,Jennifer,Moore,55,11.5,MORTGAGE,"$177,185.68",Retail,2022-08-17
CUST-000196,Jessica,Jones,56,0.6,MORTGAGE,"$24,856.99",Healthcare,2022-10-01
CUST-000197,John,Lopez,67,15.6,MORTGAGE,"$24,380.35",Manufacturing,2022-02-19
CUST-000198,Karen,Lopez,54,1.9,OWN,"$58,066.79",Manufacturing,2022-04-28
CUST-000199,Patricia,Jackson,69,11,MORTGAGE,"$89,530.73",Manufacturing,2022-07-21
CUST-000200,Charles,Garcia,52,4.6,MORTGAGE,"$35,880.55",Healthcare,2022-07-10
CUST-000201,John,Johnson,24,8.8,OTHER,"$21,792.10",Retail,2022-12-30
CUST-000202,Charles,Lopez,44,20.7,MORTGAGE,"$60,893.07",Public Sector,2022-11-19
CUST-000203,Karen,Jackson,45,1.7,MORTGAGE,"$66,664.02",Education,2022-06-30
CUST-000204,Michael,Jones,39,16.2,MORTGAGE,"$119,291.76",Healthcare,2022-03-19
CUST-000205,Karen,Lopez,31,2.5,RENT,"$68,082.37",Services,2022-03-16
CUST-000206,William,Taylor,24,2.4,RENT,"$74,163.92",Manufacturing,2022-10-22
CUST-000207,James,Taylor,54,2.1,MORTGAGE,"$42,998.80",Retail,2022-10-08
CUST-000208,Linda,Martinez,39,3.9,OWN,"$166,167.60",Public Sector,2022-01-21
CUST-000209,Michael,Taylor,22,0.8,OWN,"$40,172.14",Finance,2022-06-20
CUST-000210,Sarah,Anderson,19,4,RENT,"$36,099.67",Services,2022-01-15
CUST-000211,Linda,Lopez,44,3.9,MORTGAGE,"$121,146.70",Technology,2022-07-30
CUST-000212,James,Thomas,38,7.2,RENT,"$23,455.99",Services,2022-02-17
CUST-000213,David,Jackson,55,9,OTHER,"$19,463.49",Manufacturing,2022-03-27
CUST-000214,Sarah,Davis,32,2.9,OTHER,"$52,040.55",Finance,2022-05-29
CUST-000215,Elizabeth,Taylor,38,1.8,MORTGAGE,"$48,978.26",Education,2022-07-07
CUST-000216,John,Jones,27,1.5,OWN,"$43,741.65",Public Sector,2022-11-02
CUST-000217,Michael,Thomas,40,1.1,MORTGAGE,"$80,576.71",Public Sector,2022-05-31
CUST-000218,Jessica,Garcia,56,0.3,MORTGAGE,"$31,129.06",Manufacturing,2022-05-21
CUST-000219,Jessica,Davis,22,2.1,RENT,"$50,619.06",Services,2022-03-10
CUST-000220,Karen,Moore,18,1.6,MORTGAGE,"$40,943.45",Services,2022-09-17
CUST-000221,Thomas,Lopez,30,17,MORTGAGE,"$31,394.59",Public Sector,2022-11-30
CUST-000222,Mary,Anderson,38,4.1,MORTGAGE,"$47,528.27",Finance,2022-01-09
CUST-000223,James,Rodriguez,43,2.1,RENT,"$75,079.13",Manufacturing,2022-05-01
CUST-000224,Jessica,Gonzalez,67,4.3,OWN,"$141,532.42",Healthcare,2022-04-11
CUST-000225,Barbara,Anderson,62,0.7,RENT,"$65,493.72",Retail,2022-05-29
CUST-000226,Robert,Martinez,38,2.9,MORTGAGE,"$18,000.00",Finance,2022-05-26
CUST-000227,Robert,Thomas,70,4.9,MORTGAGE,"$48,094.83",Retail,2022-12-19
CUST-000228,William,Miller,35,3.4,MORTGAGE,"$50,256.81",Healthcare,2022-08-31
CUST-000229,William,Taylor,54,2.6,MORTGAGE,"$78,284.47",Healthcare,2022-08-29
CUST-000230,John,Miller,62,25.5,RENT,"$53,766.46",Retail,2022-12-03
CUST-000231,Charles,Wilson,49,10.6,RENT,"$91,724.47",Finance,2022-02-12
CUST-000232,Jessica,Anderson,53,4.9,MORTGAGE,"$59,625.30",Retail,2022-04-05
CUST-000233,Jessica,Miller,34,4.2,MORTGAGE,"$106,873.27",Retail,2022-08-14
CUST-000234,John,Rodriguez,52,4.8,RENT,"$39,364.79",Technology,2022-01-06
CUST-000235,Karen,Jackson,66,1.1,MORTGAGE,"$52,689.51",Finance,2022-08-02
CUST-000236,James,Thomas,28,2.5,MORTGAGE,"$74,111.11",Services,2022-07-25
CUST-000237,Karen,Davis,38,0.2,MORTGAGE,"$36,823.92",Services,2022-03-08
CUST-000238,David,Moore,69,3.2,OWN,"$33,024.12",Technology,2022-04-10
CUST-000239,Thomas,Moore,70,3.9,RENT,"$35,786.43",Manufacturing,2022-01-12
CUST-000240,Linda,Martin,43,1.3,RENT,"$33,704.69",Public Sector,2022-08-25
CUST-000241,Patricia,Miller,21,16.6,MORTGAGE,"$63,658.04",Services,2022-11-18
CUST-000242,Jennifer,Williams,51,12,MORTGAGE,"$19,586.50",Retail,2022-09-15
CUST-000243,Linda,Moore,69,6.4,MORTGAGE,"$22,516.76",Manufacturing,2022-12-03
CUST-000244,Karen,Martinez,65,3.8,OWN,"$124,414.40",Services,2022-05-15
CUST-000245,John,Miller,35,10.2,OWN,"$34,113.61",Finance,2022-08-10
CUST-000246,Jessica,Taylor,57,0.7,OTHER,"$54,176.77",Retail,2022-06-05
CUST-000247,John,Wilson,52,7.8,MORTGAGE,"$23,281.79",Public Sector,2022-05-22
CUST-000248,Sarah,Williams,58,0.7,MORTGAGE,"$51,382.97",Manufacturing,2022-06-07
CUST-000249,Susan,Lopez,46,7.9,MORTGAGE,"$34,217.64",Services,2022-11-22
CUST-000250,Sarah,Gonzalez,69,1.6,RENT,"$22,436.74",Services,2022-12-10
CUST-000251,Mary,Johnson,46,10.5,MORTGAGE,"$95,650.88",Education,2022-09-19
CUST-000252,John,Williams,55,14.4,RENT,"$88,546.48",Services,2022-10-10
CUST-000253,Jessica,Jones,59,0.8,OWN,"$46,458.87",Healthcare,2022-12-04
CUST-000254,William,Hernandez,38,3.1,MORTGAGE,"$80,798.16",Retail,2022-12-10
CUST-000255,Patricia,Davis,59,19.8,MORTGAGE,"$126,962.41",Public Sector,2022-08-17
CUST-000256,James,Lopez,30,3.3,RENT,"$71,470.35",Healthcare,2022-10-07
CUST-000257,Patricia,Miller,66,10,RENT,"$62,307.67",Technology,2022-12-24
CUST-000258,James,Anderson,58,4.4,RENT,"$54,147.92",Manufacturing,2022-10-17
CUST-000259,Susan,Taylor,34,2.4,MORTGAGE,"$67,829.24",Services,2022-06-17
CUST-000260,Jessica,Brown,26,1.7,RENT,"$40,865.45",Technology,2022-02-16
CUST-000261,Karen,Gonzalez,58,1.1,MORTGAGE,"$42,688.38",Public Sector,2022-07-22
CUST-000262,Linda,Moore,18,7.2,OWN,"$61,417.23",Retail,2022-08-02
CUST-000263,Michael,Smith,19,2.4,OWN,"$38,679.60",Healthcare,2022-09-03
CUST-000264,John,Thomas,65,3.6,MORTGAGE,"$40,827.05",Healthcare,2022-01-24
CUST-000265,Thomas,Gonzalez,46,3.4,RENT,"$49,025.38",Manufacturing,2022-11-17
CUST-000266,James,Martinez,50,4.3,OWN,"$87,142.83",Retail,2022-10-01
CUST-000267,Jessica,Lopez,27,10,OWN,"$27,824.39",Services,2022-02-13
CUST-000268,Barbara,Johnson,67,19.7,RENT,"$71,652.92",Education,2022-11-28
CUST-000269,Charles,Williams,57,2.6,MORTGAGE,"$72,831.09",Education,2022-11-09
CUST-000270,Susan,Martinez,38,8.8,RENT,"$72,613.49",Manufacturing,2022-12-29
CUST-000271,Jennifer,Johnson,45,7.2,OWN,"$32,748.97",Retail,2022-06-05
CUST-000272,Jennifer,Gonzalez,28,4.3,OTHER,"$21,029.03",Manufacturing,2022-07-18
CUST-000273,Richard,Gonzalez,51,15.6,RENT,"$64,851.17",Retail,2022-06-11
CUST-000274,Charles,Moore,25,1.1,OWN,"$53,839.86",Public Sector,2022-08-22
CUST-000275,Linda,Williams,39,0.6,MORTGAGE,"$80,998.69",Public Sector,2022-06-12
CUST-000276,Mary,Miller,25,9.6,OTHER,"$34,535.10",Technology,2022-04-26
CUST-000277,James,Wilson,66,2.9,MORTGAGE,"$71,686.60",Services,2022-04-03
CUST-000278,Joseph,Martin,32,9.4,OWN,"$83,050.66",Manufacturing,2022-02-11
CUST-000279,James,Taylor,34,11.2,RENT,"$46,739.51",Services,2022-10-11
CUST-000280,Robert,Lopez,40,0.3,RENT,"$60,383.11",Retail,2022-07-29
CUST-000281,Jessica,Thomas,41,10.7,RENT,"$59,336.70",Education,2022-07-25
CUST-000282,Charles,Lopez,62,3,OTHER,"$32,508.77",Services,2022-08-08
CUST-000283,Patricia,Anderson,36,3.6,OWN,"$63,930.27",Retail,2022-10-07
CUST-000284,John,Martinez,22,4.9,OWN,"$110,331.99",Public Sector,2022-05-16
CUST-000285,Thomas,Miller,49,13,OWN,"$49,568.06",Retail,2022-04-16
CUST-000286,Thomas,Martin,61,0.1,RENT,"$23,612.64",Manufacturing,2022-04-28
CUST-000287,Barbara,Jones,18,3.2,RENT,"$34,765.71",Technology,2022-08-25
CUST-000288,Susan,Smith,40,5.8,RENT,"$20,136.42",Technology,2022-11-05
CUST-000289,Jennifer,Taylor,54,6.4,RENT,"$93,445.21",Technology,2022-04-10
CUST-000290,John,Williams,25,5.9,RENT,"$71,829.65",Technology,2022-09-18
CUST-000291,William,Gonzalez,30,0.7,MORTGAGE,"$38,151.31",Public Sector,2022-11-01
CUST-000292,Robert,Wilson,25,1.8,RENT,"$24,124.18",Finance,2022-12-20
CUST-000293,Thomas,Moore,40,2.2,RENT,"$32,317.12",Services,2022-10-13
CUST-000294,Susan,Brown,60,8.2,RENT,"$35,627.09",Manufacturing,2022-11-24
CUST-000295,John,Moore,18,1.6,RENT,"$51,777.13",Healthcare,2022-04-13
